Vendor,Cable Zone,D of W,Time,Program Name,Rating P25+,Rating P35+,Rating W35+,Imp P25+,Imp W35+,Share P25+,PUT P25+,Share P35+,PUT P35+,Rate 1,Rate 2,Rate 3,Rate 4,Rate 5,Comments,Start Date,End Date
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,BET,0.5,,0.8,,,,,,,,,,,22,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,BRVO,,,,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,CNN,0.2,,0.2,,,,,,,,,,,35,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,ESPN,0.4,,0.3,,,,,,,,,,,39,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FAM,0.2,,0.1,,,,,,,,,,,9,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FOOD,0.4,,0.5,,,,,,,,,,,14,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,FXNC,1.7,,1.3,,,,,,,,,,,35,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,HGTV,0.4,,0.6,,,,,,,,,,,30,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,LIF,0.5,,0.7,,,,,,,,,,,38,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TBS,0.4,,0.2,,,,,,,,,,,40,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TLC,0.2,,0.3,,,,,,,,,,,24,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TNT,0.8,,0.9,,,,,,,,,,,40,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,TWC,0.1,,0.3,,,,,,,,,,,12,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0400P-0700P,USA,0.9,,1,,,,,,,,,,,45,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,AEN,0.6,,0.7,,,,,,,,,,,40,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,BET,0.7,,0.9,,,,,,,,,,,33,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,BRVO,0.7,,1,,,,,,,,,,,40,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,CNN,0.3,,0.3,,,,,,,,,,,50,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,ESPN,1.2,,0.8,,,,,,,,,,,66,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FAM,0.3,,0.4,,,,,,,,,,,14,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FOOD,0.6,,1,,,,,,,,,,,18,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,FXNC,1.6,,1.5,,,,,,,,,,,50,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,HGTV,0.7,,1,,,,,,,,,,,48,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,LIF,0.5,,0.9,,,,,,,,,,,58,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TBS,0.9,,0.8,,,,,,,,,,,50,,,
Suddenlink - Lake Charles 5783,,Mon-Sun,0700P-1000P,TLC,0.6,,0.9,,,,,,,,,,,30,,,
